relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c
9.76,70,10,29.8,6.21,29,-6,27.09444444
23.59,300,8,29.83,2.49,30,7,28.37222222
29.18,60,12,29.62,6.21,31,11,29.66111111
30.35,280,12,29.68,6.21,28,9,27.11111111
36.51,300,11,29.83,6.21,26,10,26
17.85,300,6,29.94,3.73,30,3,28.18333333
17.28,210,20,29.83,6.21,38,9,36.11111111
19.89,360,6,29.85,6.21,33,7,30.93333333
12.94,250,8,29.83,6.21,37,4,34.38333333
28.37,310,6,29.83,2.49,35,14,34.34444444
34.69,300,9,29.91,6.21,28,11,27.33333333
29.79,320,10,29.94,6.21,26,7,25.43333333
31.9,320,3,29.94,6.21,26,8,26
28.36,330,9,29.85,6.21,28,8,27.02222222
26.49,280,6,29.85,6.21,28,7,26.94444444
18.33,230,9,29.8,6.21,32,5,29.9
21.25,240,13,29.88,6.21,27,3,26.12222222
34.41,280,13,29.91,6.21,27,10,27
36.22,290,6,29.91,6.21,25,9,25
36.79,0,0,29.91,6.21,27,11,27
30.07,40,11,29.91,6.21,27,8,26.42222222
30.62,320,16,29.91,6.21,29,10,27.91111111
22.02,260,10,29.91,6.21,30,6,28.30555556
13.46,210,5,29.94,6.21,35,3,32.47777778
24.63,330,6,29.91,3.73,34,11,32.47222222
35.25,10,7,29.88,6.21,30,13,29.18888889
25.52,360,13,29.85,6.21,31,9,29.37222222
26.05,30,13,29.88,6.21,33,11,31.49444444
21.54,20,11,29.91,6.21,34,9,32.11111111
14.87,20,14,29.85,6.21,37,6,34.61111111
12.44,360,13,29.88,6.21,39,5,36.32777778
18.25,250,9,29.83,3.73,37,9,35.09444444
27.56,350,5,29.83,6.21,32,11,30.55555556
33.01,290,6,29.88,6.21,30,12,28.98888889
25.79,310,7,29.94,6.21,32,10,30.38888889
29.45,0,0,29.94,6.21,32,12,30.75555556
31.45,300,9,29.91,6.21,32,13,30.98888889
31.17,350,12,29.88,6.21,31,12,29.84444444
29.72,340,10,29.91,6.21,33,13,31.96111111
31.72,340,12,29.85,6.21,33,14,32.25555556
28.1,340,10,29.83,6.21,34,13,32.97222222
23.04,340,7,29.8,6.21,34,10,32.27777778
23.3,350,12,29.83,6.21,35,11,33.47777778
26.84,310,12,29.85,6.21,36,14,35.42777778
17.28,340,14,29.83,6.21,38,9,36.11111111
21.6,350,5,29.71,6.21,40,14,40
29.72,320,9,29.74,6.21,33,13,31.96111111
22.78,270,15,29.8,6.21,33,9,31.16111111
25.79,270,16,29.83,6.21,32,10,30.38888889
31.17,290,6,29.85,6.21,31,12,29.84444444
24.11,360,10,29.85,6.21,32,9,30.24444444
24.63,350,10,29.88,6.21,34,11,32.47222222
38.18,330,12,29.91,6.21,32,16,32
33.29,330,14,29.85,6.21,31,13,30.06111111
31.45,340,10,29.8,6.21,32,13,30.98888889
27.83,340,13,29.74,6.21,33,12,31.71111111
24.89,350,11,29.83,6.21,35,12,33.72777778
23.3,10,10,29.8,6.21,35,11,33.47777778
26.84,340,11,29.74,6.21,36,14,35.42777778
34.11,300,9,29.71,6.21,34,16,34
26.58,320,9,29.71,6.21,35,13,34.01111111
19.04,290,12,29.68,6.21,35,8,32.93888889
35.81,340,8,29.71,6.21,32,15,32
40.14,310,10,29.74,6.21,30,15,29.70555556
34.97,310,8,29.83,6.21,29,12,28.2
30.9,320,9,29.88,6.21,30,11,28.81666667
37.9,330,9,29.8,6.21,31,15,31
80.715,40,7,29.825,3.73,23,19.5,23
26.58,350,10,29.8,6.21,35,13,34.01111111
33.84,330,10,29.8,6.21,33,15,33
43.61,10,8,29.77,6.21,33,19,34.60555556
31.72,320,11,29.74,6.21,33,14,32.25555556
28.37,20,14,29.8,6.21,35,14,34.34444444
20.87,360,15,29.83,6.21,37,11,35.55555556
26.84,360,9,29.83,6.21,36,14,35.42777778
25.15,310,10,29.71,6.21,36,13,35.07777778
39.27,340,9,29.68,6.21,36,20,38.89444444
25.15,300,12,29.65,6.21,36,13,35.07777778
23.81,300,10,29.68,6.21,37,13,36.16111111
20.62,290,3,29.77,6.21,36,10,34.28333333
30.53,330,9,29.8,6.21,36,16,36
24.89,290,4,29.71,6.21,35,12,33.72777778
39,340,9,29.65,6.21,35,19,36.92222222
25.15,300,14,29.65,6.21,36,13,35.07777778
15.08,320,8,29.65,6.21,38,7,35.72777778
32.54,320,9,29.62,6.21,36,17,36.82222222
24.06,320,7,29.65,6.21,38,14,38
41.23,290,8,29.71,6.21,34,19,35.75
